20.0572, 1
22.0572, 2
36.0572, 1
38.0572, 0
40.0572, 1
42.0572, 2
44.0572, 3
48.0572, 4
52.0572, 3
54.0572, 2
56.0572, 1
58.0572, 0
60.0572, 1
62.0572, 2
64.0572, 3
66.0572, 4
68.0572, 5
72.0572, 4
74.0572, 3
76.0572, 2
82.0572, 3
84.0572, 2
86.0572, 1
88.0572, 0
118.057, 1
120.057, 2
122.057, 3
124.057, 4
126.057, 5
128.057, 4
130.057, 3
132.057, 2
134.057, 1
136.057, 2
138.057, 3
140.057, 2
142.057, 1
144.057, 0
146.057, 1
148.057, 2
150.057, 3
152.057, 4
154.057, 3
156.057, 2
158.057, 1
160.057, 0
176.057, 1
178.057, 2
180.057, 1
190.057, 0
226.057, 1
228.057, 2
230.057, 3
238.057, 2
260.057, 1
262.057, 2
264.057, 3
266.057, 4
268.057, 5
270.057, 4
272.057, 3
274.057, 2
276.057, 1
278.057, 2
288.057, 3
292.057, 2
294.057, 1
296.057, 0
304.057, 1
306.057, 2
310.057, 1
314.057, 2
316.057, 3
318.057, 4
320.057, 5
322.057, 4
324.057, 3
326.057, 2
328.057, 1
332.057, 2
336.057, 1
338.057, 2
340.057, 3
342.057, 4
348.057, 3
356.057, 2
358.057, 1
360.057, 0
362.057, 1
364.057, 2
366.057, 3
368.057, 4
370.057, 5
374.057, 4
376.057, 3
378.057, 2
380.057, 1
382.057, 0
384.057, 1
386.057, 2
388.057, 3
390.057, 4
392.057, 5
394.057, 6
396.057, 5
398.057, 4
400.057, 3
404.057, 4
416.057, 3
418.057, 2
420.057, 1
424.057, 2
426.057, 3
428.057, 2
430.057, 1
432.057, 2
438.057, 1
440.057, 0
448.057, 1
450.057, 2
452.057, 3
460.057, 2
462.057, 3
464.057, 4
468.057, 3
470.057, 4
472.057, 3
474.057, 2
476.057, 1
478.057, 2
480.057, 3
482.057, 4
492.057, 3
494.057, 2
496.057, 1
498.057, 0
500.057, 1
502.057, 2
504.057, 3
506.057, 4
508.057, 5
510.057, 4
512.057, 3
514.057, 2
520.057, 3
524.057, 2
526.057, 3
528.057, 4
530.057, 3
532.057, 2
534.057, 1
538.057, 2
540.057, 3
542.057, 4
544.057, 5
546.057, 6
548.057, 5
550.057, 4
552.057, 3
554.057, 2
556.057, 3
558.057, 4
560.057, 3
570.057, 2
572.057, 1
574.057, 0
576.057, 1
578.057, 2
580.057, 1
582.057, 0
584.057, 1
586.057, 2
596.057, 1
598.057, 0
600.057, 1
602.057, 2
604.057, 3
606.057, 4
614.057, 3
616.057, 2
618.057, 1
622.057, 2
624.057, 3
632.057, 2
634.057, 1
636.057, 0
640.057, 1
646.057, 0
648.057, 1
650.057, 2
652.057, 3
654.057, 4
656.057, 5
658.057, 4
660.057, 3
662.057, 2
664.057, 1
676.057, 0
682.057, 1
702.057, 2
704.057, 3
708.057, 4
712.057, 3
714.057, 2
716.057, 1
724.057, 2
726.057, 3
728.057, 2
730.057, 1
734.057, 0
742.057, 1
758.057, 0
780.057, 1
782.057, 2
788.057, 3
790.057, 4
796.057, 3
798.057, 2
800.057, 1
802.057, 0
848.057, 1
850.057, 2
876.057, 3
878.057, 4
880.057, 5
882.057, 4
884.057, 3
886.057, 2
888.057, 1
906.057, 0
918.057, 1
962.057, 2
964.057, 1
966.057, 0
